ortsbezirk_id;name_offiziell;osm_id;akk
01;Mitte;3897825;false
02;Nordost;3897896;false
03;Südost;3898238;false
06;Rheingauviertel/Hollerborn;3897850;false
07;Klarenthal;3897893;false
08;Westend/Bleichstraße;3897826;false
11;Sonnenberg;4278980;false
12;Bierstadt;4519638;false
13;Erbenheim;4519640;false
14;Biebrich;5408628;false
16;Dotzheim;5408629;false
21;Rambach;4278979;false
22;Heßloch;4519641;false
23;Kloppenheim;4519637;false
24;Igstadt;4519642;false
25;Nordenstadt;5408632;false
26;Delkenheim;4519639;false
27;Schierstein;5408633;false
28;Frauenstein;5408630;false
31;Naurod;4278978;false
32;Auringen;4278975;false
33;Medenbach;4278977;false
34;Breckenheim;4278976;false
51;Mainz-Amöneburg;5408631;true
52;Mainz-Kastel;4519643;true
53;Mainz-Kostheim;4519644;true
