alias;ortsbezirk_id
Mitte;01
Nordost;02
Südost;03
Rheingauviertel/Hollerborn;06
Rheingauviertel / Hollerborn;06
Rheingauviertel, Hollerborn;06
Klarenthal;07
Westend/Bleichstraße;08
Westend / Bleichstraße;08
Westend, Bleichstraße;08
Sonnenberg;11
Bierstadt;12
Erbenheim;13
Biebrich;14
Dotzheim;16
Rambach;21
Heßloch;22
Kloppenheim;23
Igstadt;24
Nordenstadt;25
Delkenheim;26
Schierstein;27
Frauenstein;28
Naurod;31
Auringen;32
Medenbach;33
Breckenheim;34
Mainz-Amöneburg;51
Amöneburg;51
Mainz-Kastel;52
Kastel;52
Mainz-Kostheim;53
Kostheim;53
