ortsbezirk_id;ortsbezirk_name;wahlberechtigte_2026;waehlende_2026;wahlbeteiligung_2026_pro;waehlende_brief_2026;waehlende_brief_2026_pro;wahlberechtigte_2021;waehlende_2021;wahlbeteiligung_2021_pro;waehlende_brief_2021;waehlende_brief_2021_pro;wahlberechtigte_diff;waehlende_diff;wahlbeteiligung_diff_pp;waehlende_brief_diff;waehlende_brief_diff_pp
01;Mitte;14860;6296;42,4;2653;42,1;15498;5725;36,9;2834;49,5;-638;571;5,5;-181;-7,4
02;Nordost;17673;10124;57,3;4931;48,7;17739;8814;49,7;5013;56,9;-66;1310;7,6;-82;-8,2
03;Südost;15771;8250;52,3;3847;46,6;15590;7170;46;3943;55;181;1080;6,3;-96;-8,4
06;Hollerborn;14907;6670;44,7;2929;43,9;15321;5842;38,1;3085;52,8;-414;828;6,6;-156;-8,9
07;Klarenthal;7065;2575;36,4;1045;40,6;7006;2265;32,3;1200;53;59;310;4,1;-155;-12,4
08;Bleichstraße;11467;4744;41,4;2009;42,3;12048;4394;36,5;2218;50,5;-581;350;4,9;-209;-8,2
11;Sonnenberg;6002;3790;63,1;2030;53,6;6267;3408;54,4;2174;63,8;-265;382;8,7;-144;-10,2
12;Bierstadt;9353;4938;52,8;2119;42,9;9468;4386;46,3;2454;56;-115;552;6,5;-335;-13,1
13;Erbenheim;6827;2916;42,7;1249;42,8;6603;2418;36,6;1332;55,1;224;498;6,1;-83;-12,3
14;Biebrich;26804;11461;42,8;4890;42,7;27028;10234;37,9;5408;52,8;-224;1227;4,9;-518;-10,1
16;Dotzheim;19109;8421;44,1;3329;39,5;18991;7009;36,9;3711;52,9;118;1412;7,2;-382;-13,4
21;Rambach;1678;1044;62,2;461;44,2;1750;952;54,4;480;50,4;-72;92;7,8;-19;-6,2
22;Heßloch;534;390;73;141;36,2;558;389;69,7;149;38,3;-24;1;3,3;-8;-2,1
23;Kloppenheim;1711;1106;64,6;417;37,7;1767;1027;58,1;551;53,7;-56;79;6,5;-134;-16
24;Igstadt;1683;1136;67,5;447;39,3;1760;1019;57,9;523;51,3;-77;117;9,6;-76;-12
25;Nordenstadt;6683;3634;54,4;1605;44,2;6086;2882;47,4;1720;59,7;597;752;7;-115;-15,5
26;Delkenheim;3633;1778;48,9;722;40,6;3678;1596;43,4;844;52,9;-45;182;5,5;-122;-12,3
27;Schierstein;8236;4022;48,8;1791;44,5;8114;3461;42,7;1962;56,7;122;561;6,1;-171;-12,2
28;Frauenstein;1838;1228;66,8;608;49,5;1935;1162;60,1;749;64,5;-97;66;6,7;-141;-15
31;Naurod;3433;2258;65,8;1020;45,2;3571;2128;59,6;1192;56;-138;130;6,2;-172;-10,8
32;Auringen;2584;1739;67,3;732;42,1;2632;1601;60,8;909;56,8;-48;138;6,5;-177;-14,7
33;Medenbach;1931;1033;53,5;406;39,3;1968;869;44,2;463;53,3;-37;164;9,3;-57;-14
34;Breckenheim;2609;1647;63,1;707;42,9;2707;1603;59,2;898;56;-98;44;3,9;-191;-13,1
51;Amöneburg;1091;306;28;92;30,1;1059;291;27,5;109;37,5;32;15;0,5;-17;-7,4
52;Kastel;9277;3738;40,3;1536;41,1;9174;3164;34,5;1703;53,8;103;574;5,8;-167;-12,7
53;Kostheim;10455;4281;40,9;1668;39;10288;3587;34,9;1798;50,1;167;694;6;-130;-11,1
