ortsbezirk_id;ortsbezirk_name;wahlbeteiligung
01;Mitte;42,3
02;Nordost;58,1
03;Südost;52,3
06;Hollerborn;44,8
07;Klarenthal;37
08;Bleichstraße;41,3
11;Sonnenberg;63,1
12;Bierstadt;52,8
13;Erbenheim;42,5
14;Biebrich;42,6
16;Dotzheim;44
21;Rambach;62,4
22;Heßloch;72,7
23;Kloppenheim;64,5
24;Igstadt;67,2
25;Nordenstadt;54,6
26;Delkenheim;49
27;Schierstein;48,8
28;Frauenstein;66,5
31;Naurod;65,7
32;Auringen;67,1
33;Medenbach;53,9
34;Breckenheim;63,2
51;Amöneburg;28,2
52;Kastel;40,3
53;Kostheim;41
00;Wiesbaden;48,1
