amt;themen_codes;themen;titel;beschreibung;formate;aktualisiert;url;slug;amt_id
Kämmerei, Landeshauptstadt Wiesbaden;ECON;Wirtschaft und Finanzen;Bürgschaftsvolumen (gegenüber verbundenen Unternehmen und Dritten);Bürgschaftsvolumen (gegenüber verbundenen Unternehmen und Dritten);CSV, HTML;2026-02-23;https://opendata.cloud.wiesbaden.de/app/data-catalog/e8bbbdf0-1d98-4e2d-a0d5-d7891814895d;e8bbbdf0-1d98-4e2d-a0d5-d7891814895d;20_kaemmerei_lhw
Kämmerei, Landeshauptstadt Wiesbaden;ECON;Wirtschaft und Finanzen;Ergebnishaushalt der Landeshauptstadt Wiesbaden - 2023 bis 2025;Dieser Datensatz enthält die Rohdaten des Ergebnishaushalts der Landeshauptstadt Wiesbaden für die Jahre 2023 bis 2025. | Er umfasst Ist-Werte für das Jahr 2023 sowie Planwerte für die Jahre 2024 und 2025. Die Daten bilden Aufwendungen und Erträge der Stadtverwaltung ab und sind nach organisatorischen Einheiten (z. B. Dezernate, Ämter) sowie nach sachlichen Gliederungen (z. B. Kostenarten, Produktbereiche) strukturiert. | Der Datensatz enthält folgende Variablen: | jahr: Jahr. Datentyp: Natürliche Zahlen. Beispiel: 2024. Jahre 2023–2025 (2023 Ist-Werte, 2024 und 2025 Planwerte). | kostenartengliederung_stufe_2: Kostenartengliederung Stufe 2. Datentyp: String. Beispiel: 1. Ordentliches Ergebnis. Gliederung nach ordentlichem und außerordentlichem Ergebnis sowie internen Bezugsgrößen (direkte Leistungsverrechnung und Umlagen). | kostenartengliederung_stufe_4: Kostenartengliederung Stufe 4. Datentyp: String. Beispiel: 10. Personalaufwendungen. Gliederung nach Kostenartengruppen. | dezernat: Dezernate der Landeshauptstadt Wiesbaden. Datentyp: String. Beispiel: 3 - Dezernat III. Dezernate sind die oberste Organisationseinheit der Stadtverwaltung. | amt: Ämter der Landeshauptstadt Wiesbaden. Datentyp: String. Beispiel: 41 - Kulturamt. Organisationseinheiten für fachspezifische Aufgaben. | profitcenter: Profitcenter (Nummer und Bezeichnung). Datentyp: String. Beispiel: 1024 - 11 Personalamt. Organisatorische Einheit in der SAP-Software. Dezernate und Ämter bestehen i. d. R. aus mehreren Profitcentern. Diese Aufteilung erfolgt aufgrund zu unterschiedenen Aufgabengebieten oder der Trennung zwischen Wiesbaden und AKK. | wiesbaden_akk: Wiesbaden / AKK. Datentyp: String. Beispiel: Wiesbaden, AKK. Unterscheidung, ob ein Profitcenter AKK oder Wiesbaden (ohne AKK) zugeordnet ist. AKK sind die drei Ortsbezirke Mainz-Amöneburg, Mainz-Kastel und Mainz-Kostheim. Die AKK Profitcenter enthalten Aufwendungen und Erträge, die diesen drei Ortsbezirken zuzuordnen sind. | produktbereich: Produktbereich. Datentyp: String. Beispiel: (01) Innere Verwaltung. Produktorientiere Zuordnung der Kontierungsobjekte anhand des Produktbuches Plus (Nachhaltigkeitsziele SDGs). Untergliederung in 1. Produktbereich, 1.1 Produktgruppe und 1.1.1 Produkt. | produktgruppe: Produktgruppe. Datentyp: String. Beispiel: (01) Verwaltungssteuerung und -service. siehe Produktbereich | statistischer_viersteller: Statistische Produktnummer mit Bezeichnung. Datentyp: String. Beispiel: 111 - Verwaltungssteuerung und -service. Analog der Produktebene im Produktbuch Plus, siehe Produktbereich | objekt_projektdefinitionen: Kontierungsobjekt. Datentyp: String. Beispiel: 1100216 - 11 Personalbetreuung Beschäftigte. Kontierungsobjekt, auf welchem die Aufwendungen und Erträge gebucht sind | betrag: Betrag. Datentyp: Reelle Zahlen. Wertebereich: -401.569.029,6 bis 97.240.000. Aufwendungen und Erträge.;CSV, HTML;2025-10-20;https://opendata.cloud.wiesbaden.de/app/data-catalog/ergebnis-und-planungshaushalt-wiesbaden;ergebnis-und-planungshaushalt-wiesbaden;20_kaemmerei_lhw
Kämmerei, Landeshauptstadt Wiesbaden;ECON;Wirtschaft und Finanzen;Liquidität (Bilanzposition „flüssige Mittel“) der Kernverwaltung;Liquidität (Bilanzposition „flüssige Mittel“) der Kernverwaltung;CSV, HTML;2026-02-23;https://opendata.cloud.wiesbaden.de/app/data-catalog/309352fd-2458-4ad9-ab61-23bca1e9697d;309352fd-2458-4ad9-ab61-23bca1e9697d;20_kaemmerei_lhw
Kämmerei, Landeshauptstadt Wiesbaden;ECON;Wirtschaft und Finanzen;Verbindlichkeiten aus Kreditaufnahmen für Investitionen;Verbindlichkeiten aus Kreditaufnahmen für Investitionen;CSV, HTML;2026-02-23;https://opendata.cloud.wiesbaden.de/app/data-catalog/8dda787c-81cb-426b-a156-170f761433be;8dda787c-81cb-426b-a156-170f761433be;20_kaemmerei_lhw
Amt für Statistik und Stadtforschung, Landeshauptstadt Wiesbaden;EDUC, SOCI, REGI;Bildung, Kultur und Sport / Bevölkerung und Gesellschaft / Regionen und Städte;Allgemeinbildende Schulen nach Schulformen in Wiesbaden - 2016 bis 2024;"Dieser Datensatz ist ein Auszug aus dem Statistischen Informationssystems des Amtes für Statistik und Stadtforschung aus dem Kapitel 'Bildung und Ausbildung'. Die Erhebungen an den allgemeinbildenden und den beruflichen Schulen beruhen auf einer Verordnung des Hessischen Kultusministeriums; sie werden jährlich im Herbst zu Beginn des Schuljahres durchgeführt und erstrecken sich auf alle öffentlichen und privaten Schulen. Alle Angaben beziehen sich auf den Schulort Wiesbaden – unabhängig vom Wohnort der Schülerinnen und Schüler. Quelle: Hessisches Statistisches Landesamt Erläuterungen: - Die Hauptschule schließt an die Grundschule an. In der Regel führt sie bis zur Jahrgangsstufe 9 und umfasst somit fünf Jahre. Ein 10. Hauptschuljahr kann eingerichtet werden. Der Schwerpunkt der Hauptschule liegt auf dem handlungs- und praxisorientierten Lernen. - Die Realschule baut auf den Lernanforderungen der Grundschule auf, schließt sich an die 4. Jahrgangsstufe der Grundschule an und umfasst die Jahrgangsstufen 5 bis 10. Die Realschule führt nach dem erfolgreichen Abschluss zur Mittleren Reife (Realschulabschluss). - Das Gymnasium baut auf den Lernanforderungen der Grundschule auf. Das neunjährige Gymnasium gliedert sich in seiner Mittelstufe in die Jahrgangsstufen 5 bis 10 und in seiner Oberstufe in die Jahrgangsstufen 11 bis 13. Das verkürzte achtjährige Gymnasium (G8) gliedert sich in seiner Mittelstufe in die Jahrgangsstufen 5 bis 9 und in seiner Oberstufe in die Jahrgangsstufen 10 bis 12. Mit dem Abschluss der Oberstufe, die aus der einjährigen Einführungsphase und der zweijährigen Qualifikationsphase besteht, wird die allgemeine Hochschulreife erworben. Mittel- und Oberstufen können auch organisatorisch selbständig geführt werden. - Schulen verschiedener Bildungsgänge können in Gesamtschulen zu einer pädagogischen, organisatorischen und räumlichen Einheit zusammengefasst werden. In Wiesbaden wird derzeit nur noch die integrierte Gesamtschule geführt, in der die einzelnen Schulformen aufgehoben sind und der Unterricht stattdessen nach dem Kursprinzip organisiert wird. Die integrierte Gesamtschule beginnt mit der Jahrgangsstufe 5 und endet mit der Jahrgangsstufe 10. Neben dem Hauptschulabschluss kann die Mittlere Reife erworben werden. - Die Förderschule (früher: Sonderschule) wird von Schülerinnen und Schülern besucht, die auf Dauer oder für längere Zeit einer sonderpädagogischen Förderung bedürfen. Förderschulen können als selbständige Einrichtungen oder als Zweige/Klassen an Regelschulen eingerichtet werden. Förderschulen gibt es in Wiesbaden als Schule für Lernhilfe, Schule für Praktisch Bildbare, Schule für Körperbehinderte, Sprachheilschule und Schule für Kranke. Spaltenübersicht: - Schuljahr - Allgemeinbildende Schulen - Allgemeinbildende Grundschulen - Allgemeinbildende Hauptschulen - Allgemeinbildende Realschulen - Allgemeinbildende Mittelstufenschulen - Allgemeinbildende Gymnasien - Allgemeinbildende Gesamtschulen - Allgemeinbildende Förderschulen - Allgemeinbildende öffentliche Schulen - Allgemeinbildende öffentliche Grundschulen - Allgemeinbildende öffentliche Hauptschulen - Allgemeinbildende öffentliche Realschulen - Allgemeinbildende öffentliche Mittelstufenschulen - Allgemeinbildende öffentliche Gymnasien - Allgemeinbildende öffentliche Gesamtschulen - Allgemeinbildende öffentliche Förderschulen - Allgemeinbildende private Schulen - Allgemeinbildende private Grundschulen - Allgemeinbildende private Hauptschulen - Allgemeinbildende private Realschulen - Allgemeinbildende private Mittelstufenschulen - Allgemeinbildende private Gymnasien - Allgemeinbildende private Gesamtschulen - Allgemeinbildende private Förderschulen Weitere Informationen und Graphiken sind zu finden im Kapitel 'Bildung und Ausbildung' unter https://www.wiesbaden.de/jahrbuch. Bei Fragen und Wünschen bitte an das Postfach statistik@wiesbaden.de wenden.";CSV, JSON;2026-01-14;https://opendata.cloud.wiesbaden.de/app/data-catalog/753d8a0e-518d-44e8-ad9a-ad6322832c71;753d8a0e-518d-44e8-ad9a-ad6322832c71;12_statistik_stadtforschung_lhw
Amt für Statistik und Stadtforschung, Landeshauptstadt Wiesbaden;EDUC, SOCI, REGI;Bildung, Kultur und Sport / Bevölkerung und Gesellschaft / Regionen und Städte;Schülerinnen und Schüler an Schulen für Erwachsene in Wiesbaden - 2016 bis 2024;"Dieser Datensatz ist ein Auszug aus dem Statistischen Informationssystems des Amtes für Statistik und Stadtforschung aus dem Kapitel 'Bildung und Ausbildung'. Die Erhebungen an den allgemeinbildenden und den beruflichen Schulen beruhen auf einer Verordnung des Hessischen Kultusministeriums; sie werden jährlich im Herbst zu Beginn des Schuljahres durchgeführt und erstrecken sich auf alle öffentlichen und privaten Schulen. Alle Angaben beziehen sich auf den Schulort Wiesbaden – unabhängig vom Wohnort der Schülerinnen und Schüler. Aus Gründen des Datenschutzes und der statistischen Geheimhaltung werden Einzelwerte mit sehr geringen Fallzahlen nicht ausgewiesen. Betroffene Werte sind in den bereitgestellten Daten als fehlend gekennzeichnet (leeres Feld im CSV bzw. null im JSON). Quelle: Hessisches Statistisches Landesamt Erläuterungen: - Schulen für Erwachsene sind in Wiesbaden das Abendgymnasium, die Abendrealschule und Abendhauptschule sowie das Hessenkolleg. - Migrationshintergrund: Bei Schülerinnen und Schülern ist ein Migrationshintergrund anzunehmen, wenn mindestens eines der folgenden Merkmale zutrifft: mindestens eine nichtdeutsche Staatsangehörigkeit; nichtdeutsches Geburtsland; nichtdeutsche Verkehrssprache in der Familie bzw. im häuslichen Umfeld. Spaltenübersicht: - Jahr - Schülerinnen und Schüler an Schulen für Erwachsene - Hauptschülerinnen und Hauptschüler an Schulen für Erwachsene - Realschülerinnen und Realschüler an Schulen für Erwachsene - Gymnasiastinnen und Gymnasiasten an Schulen für Erwachsene - Kollegschülerinnen und Kollegschüler an Schulen für Erwachsene - Schülerinnen an Schulen für Erwachsene - Hauptschülerinnen an Schulen für Erwachsene - Realschülerinnen an Schulen für Erwachsene - Gymnasiastinnen an Schulen für Erwachsene - Kollegschülerinnen an Schulen für Erwachsene - Ausländische Schülerinnen und Schüler an Schulen für Erwachsene - Ausländische Hauptschülerinnen und Hauptschüler an Schulen für Erwachsene - Ausländische Realschülerinnen und Realschüler an Schulen für Erwachsene - Ausländische Gymnasiastinnen und Gymnasiasten an Schulen für Erwachsene - Ausländische Kollegschülerinnen und Kollegschüler an Schulen für Erwachsene - Schülerinnen und Schüler mit Migrationshintergrund an Schulen für Erwachsene - Hauptschülerinnen und Hauptschüler mit Migrationshintergrund an Schulen für Erwachsene - Realschülerinnen und Realschüler mit Migrationshintergrund an Schulen für Erwachsene - Gymnasiastinnen und Gymnasiasten mit Migrationshintergrund an Schulen für Erwachsene - Kollegschülerinnen und Kollegschüler mit Migrationshintergrund an Schulen für Erwachsene Weitere Informationen und Graphiken sind zu finden im Kapitel 'Bildung und Ausbildung' unter https://www.wiesbaden.de/jahrbuch. Bei Fragen und Wünschen bitte an das Postfach statistik@wiesbaden.de wenden.";CSV, JSON;2026-01-14;https://opendata.cloud.wiesbaden.de/app/data-catalog/f4ae0f21-9875-466e-a0cd-c9ae92da93e4;f4ae0f21-9875-466e-a0cd-c9ae92da93e4;12_statistik_stadtforschung_lhw
Amt für Statistik und Stadtforschung, Landeshauptstadt Wiesbaden;EDUC, SOCI, REGI;Bildung, Kultur und Sport / Bevölkerung und Gesellschaft / Regionen und Städte;Schülerinnen und Schüler an allgemeinbildenden Schulen nach Jahrgangsstufen in Wiesbaden - 2016 bis 2024;"Dieser Datensatz ist ein Auszug aus dem Statistischen Informationssystems des Amtes für Statistik und Stadtforschung aus dem Kapitel 'Bildung und Ausbildung'. Die Erhebungen an den allgemeinbildenden und den beruflichen Schulen beruhen auf einer Verordnung des Hessischen Kultusministeriums; sie werden jährlich im Herbst zu Beginn des Schuljahres durchgeführt und erstrecken sich auf alle öffentlichen und privaten Schulen. Alle Angaben beziehen sich auf den Schulort Wiesbaden – unabhängig vom Wohnort der Schülerinnen und Schüler. Aus Gründen des Datenschutzes und der statistischen Geheimhaltung werden Einzelwerte mit sehr geringen Fallzahlen nicht ausgewiesen. Betroffene Werte sind in den bereitgestellten Daten als fehlend gekennzeichnet (leeres Feld im CSV bzw. null im JSON). Quelle: Hessisches Statistisches Landesamt Erläuterungen: - Migrationshintergrund: Bei Schülerinnen und Schülern ist ein Migrationshintergrund anzunehmen, wenn mindestens eines der folgenden Merkmale zutrifft: mindestens eine nichtdeutsche Staatsangehörigkeit; nichtdeutsches Geburtsland; nichtdeutsche Verkehrssprache in der Familie bzw. im häuslichen Umfeld. Spaltenübersicht: - Jahr - Jahrgangsstufe - Schülerinnen und Schüler an allgemeinbildenden Schulen - Schülerinnen an allgemeinbildenden Schulen - Ausländische Schülerinnen und Schüler an allgemeinbildenden Schulen - Schülerinnen und Schüler mit Migrationshintergrund an allgemeinbildenden Schulen Weitere Informationen und Graphiken sind zu finden im Kapitel 'Bildung und Ausbildung' unter https://www.wiesbaden.de/jahrbuch. Bei Fragen und Wünschen bitte an das Postfach statistik@wiesbaden.de wenden.";CSV, JSON;2026-01-14;https://opendata.cloud.wiesbaden.de/app/data-catalog/46db4fb5-a09b-4362-af9b-2556a98b21be;46db4fb5-a09b-4362-af9b-2556a98b21be;12_statistik_stadtforschung_lhw
Amt für Statistik und Stadtforschung, Landeshauptstadt Wiesbaden;EDUC, SOCI, REGI;Bildung, Kultur und Sport / Bevölkerung und Gesellschaft / Regionen und Städte;Schülerinnen und Schüler an beruflichen Schulen in Wiesbaden - 2016 bis 2024;"Dieser Datensatz ist ein Auszug aus dem Statistischen Informationssystems des Amtes für Statistik und Stadtforschung aus dem Kapitel 'Bildung und Ausbildung'. Die Erhebungen an den allgemeinbildenden und den beruflichen Schulen beruhen auf einer Verordnung des Hessischen Kultusministeriums; sie werden jährlich im Herbst zu Beginn des Schuljahres durchgeführt und erstrecken sich auf alle öffentlichen und privaten Schulen. Alle Angaben beziehen sich auf den Schulort Wiesbaden – unabhängig vom Wohnort der Schülerinnen und Schüler. Aus Gründen des Datenschutzes und der statistischen Geheimhaltung werden Einzelwerte mit sehr geringen Fallzahlen nicht ausgewiesen. Betroffene Werte sind in den bereitgestellten Daten als fehlend gekennzeichnet (leeres Feld im CSV bzw. null im JSON). Quelle: Hessisches Statistisches Landesamt Erläuterungen: - Da das System der beruflichen Ausbildung durch eine zunehmende Ausdifferenzierung gekennzeichnet ist, unterscheiden wir nach dem Bildungsziel fünf verschiedene Teilsysteme. Die duale Berufsausbildung führt zu einem gesetzlich anerkannten Ausbildungsberuf, wobei die Ausbildung parallel in Betrieben und Berufsschulen stattfindet. Auch die rein Schulische Berufsausbildung führt zu einem gesetzlich anerkannten Ausbildungsberuf. Bildungsangebote des Beruflichen Übergangs führen dagegen zu keinem Ausbildungsabschluss, sondern dienen lediglich zur Verbesserung der individuellen Kompetenzen von Jugendlichen zur Aufnahme einer Ausbildung oder Beschäftigung. Bildungsangebote des Schulischen Übergangs vermitteln neben Teilen einer Berufsausbildung vor allem eine Studienberechtigung. Bildungsangebote der Beruflichen Weiterbildung bauen auf einer beruflichen Erstqualifikation auf und vertiefen die berufliche Fachbildung. Allgemeinbildende schulische Abschlüsse können dabei vielfach in beruflichen Schulen nachgeholt werden. Spaltenübersicht: - Jahr - Schülerinnen und Schüler an beruflichen Schulen - Schülerinnen und Schüler an beruflichen Schulen in der dualen Ausbildung - Schülerinnen und Schüler an beruflichen Schulen in der schulischen Berufsausbildung - Schülerinnen und Schüler an beruflichen Schulen im beruflichen Übergang - Schülerinnen und Schüler im schulischen Übergang - Schülerinnen und Schüler an beruflichen Schulen in der beruflichen Weiterbildung - Schülerinnen an beruflichen Schulen - Schülerinnen an beruflichen Schulen in der dualen Ausbildung - Schülerinnen an beruflichen Schulen in der schulischen Berufsausbildung - Schülerinnen an beruflichen Schulen im beruflichen Übergang - Schülerinnen an beruflichen Schulen im schulischen Übergang - Schülerinnen an beruflichen Schulen in der beruflichen Weiterbildung - Ausländische Schülerinnen und Schüler an beruflichen Schulen - Ausländische Schülerinnen und Schüler an beruflichen Schulen in der dualen Ausbildung - Ausländische Schülerinnen und Schüler an beruflichen Schulen in der schulischen Berufsausbildung - Ausländische Schülerinnen und Schüler an beruflichen Schulen im beruflichen Übergang - Ausländische Schülerinnen und Schüler an beruflichen Schulen im schulischen Übergang - Ausländische Schülerinnen und Schüler an beruflichen Schulen in der beruflichen Weiterbildung Weitere Informationen und Graphiken sind zu finden im Kapitel 'Bildung und Ausbildung' unter https://www.wiesbaden.de/jahrbuch. Bei Fragen und Wünschen bitte an das Postfach statistik@wiesbaden.de wenden.";CSV, JSON;2026-01-14;https://opendata.cloud.wiesbaden.de/app/data-catalog/057622e3-7721-42f6-ae93-d69ae1d3983a;057622e3-7721-42f6-ae93-d69ae1d3983a;12_statistik_stadtforschung_lhw
Amt für Statistik und Stadtforschung, Landeshauptstadt Wiesbaden;GOVE, REGI;Regierung und öffentlicher Sektor / Regionen und Städte;Altersgruppen der Wahlberechtigten zur Stadtverordnetenversammlung und zu den Ortsbeiräten nach Ortsbezirken in Wiesbaden - 2026;Bestandteil des Strukturdatenhefts zur Kommunalwahl 2026 der Landeshauptstadt Wiesbaden. Wahlberechtigte zur Stadtverordnetenversammlung und zu den Ortsbeiräten nach Altersgruppen und Ortsbezirken. Quelle: Melderegister. Weitere Informationen unter https://www.wiesbaden.de/leben-in-wiesbaden/stadtportraet/daten-fakten/wahlanalysen.;CSV;2026-02-19;https://opendata.cloud.wiesbaden.de/app/data-catalog/6cc7e08d-a064-42b5-8d52-43d3cdf29209;6cc7e08d-a064-42b5-8d52-43d3cdf29209;12_statistik_stadtforschung_lhw
Amt für Statistik und Stadtforschung, Landeshauptstadt Wiesbaden;GOVE, REGI;Regierung und öffentlicher Sektor / Regionen und Städte;Durchschnittsalter und Frauenanteil der Kandidierenden und Wahlberechtigten zu den Kommunalwahlen in Wiesbaden - 2026;Bestandteil des Strukturdatenhefts zur Kommunalwahl 2026 der Landeshauptstadt Wiesbaden. Durchschnittsalter und Frauenanteil von Kandidierenden und Wahlberechtigten. Quelle: Melderegister. Weitere Informationen unter https://www.wiesbaden.de/leben-in-wiesbaden/stadtportraet/daten-fakten/wahlanalysen.;CSV;2026-02-19;https://opendata.cloud.wiesbaden.de/app/data-catalog/58a06d79-7b99-4c84-a4d1-2dfa8cf2e348;58a06d79-7b99-4c84-a4d1-2dfa8cf2e348;12_statistik_stadtforschung_lhw
